SpellId,School
1,3
3,3
4,0
5,1
7,0
10,4
11,3
12,0
13,0
14,0
15,0
16,5
17,1
18,0
19,0
22,0
24,0
25,0
26,0
27,0
31,0
33,0
34,0
35,0
43,0
45,0
47,0
49,4
50,3
53,0
56,0
58,0
59,0
60,0
61,0
65,3
66,6
67,1
68,5
71,0
72,0
75,0
76,0
77,0
78,0
81,0
84,0
87,0
89,5
91,0
94,1
96,0
99,0
100,0
101,0
103,0
107,0
108,0
109,3
110,0
111,0
112,0
113,4
114,4
116,4
118,6
120,4
122,4
124,3
126,5
128,5
130,6
131,3
132,5
133,2
134,2
136,3
139,1
142,1
143,2
145,2
168,4
172,5
179,2
184,2
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,4
227,0
228,3
246,3
255,4
260,0
261,4
262,0
263,0
264,0
265,6
266,0
269,2
271,5
278,0
279,0
284,0
285,0
302,0
308,3
315,2
324,3
325,3
331,3
332,3
339,3
344,3
348,2
355,0
365,3
370,3
379,3
403,3
408,0
409,5
410,5
411,5
421,3
424,3
427,0
428,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
450,0
451,3
453,5
454,0
455,3
456,0
457,3
458,0
459,0
461,1
463,0
464,0
465,1
466,3
467,3
468,0
469,0
470,0
471,0
472,0
474,3
475,6
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,6
492,0
493,0
494,0
495,0
496,0
497,0
498,1
499,0
500,4
501,0
502,0
503,3
504,0
506,0
507,3
508,0
509,3
512,4
513,3
514,5
515,0
517,0
518,0
519,0
520,0
521,0
522,0
526,3
527,1
528,1
529,3
530,6
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,2
544,3
545,2
546,3
547,3
548,3
549,3
550,3
552,1
553,3
554,3
555,3
556,3
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,6
569,0
570,0
571,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
585,1
586,5
587,6
588,1
589,5
590,1
591,1
592,1
593,5
594,5
595,1
596,1
597,6
598,1
599,1
600,1
601,0
602,1
603,5
604,6
605,5
606,5
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
624,0
625,0
626,0
627,0
628,0
629,1
630,1
631,0
632,0
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
676,0
677,0
678,1
679,1
680,1
682,0
684,0
685,0
686,5
687,5
688,5
689,5
690,2
691,5
692,5
693,5
694,0
695,5
696,5
697,5
698,5
699,5
700,5
701,2
702,5
703,0
704,5
705,5
706,5
707,2
708,5
709,5
710,5
711,2
712,5
713,0
714,0
715,0
718,0
719,0
720,0
721,0
722,0
723,0
724,1
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,3
741,0
742,0
743,0
744,3
745,0
746,0
747,0
748,0
749,2
750,0
751,0
752,0
753,2
755,5
756,0
757,0
758,2
759,6
761,2
762,2
763,0
764,0
765,4
766,0
767,5
768,0
769,0
770,3
771,3
772,0
773,3
774,3
775,3
776,3
778,3
779,0
780,0
781,0
782,3
783,0
784,0
785,3
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,5
802,3
804,3
805,5
806,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
833,0
834,0
835,3
836,0
837,4
838,0
839,3
840,0
841,2
842,0
844,0
845,0
846,0
847,4
848,0
849,3
850,0
851,3
852,0
853,1
854,0
855,3
856,0
857,6
858,0
860,0
861,3
862,0
863,3
864,0
865,4
866,0
867,3
868,0
870,0
871,0
872,0
874,0
876,0
877,3
878,0
879,1
880,0
882,0
883,0
884,0
885,6
886,0
890,0
892,0
894,0
895,2
896,0
897,4
898,0
899,2
900,0
901,3
902,0
903,3
904,0
905,3
906,0
908,0
909,3
910,0
911,2
912,0
913,3
914,0
915,3
916,0
917,3
918,0
920,0
921,0
922,0
923,2
924,0
926,0
928,0
930,3
931,0
932,3
933,0
934,3
935,0
936,0
937,2
938,0
939,3
940,0
943,3
944,0
945,3
946,0
947,3
948,0
949,3
950,0
951,2
952,0
955,3
956,0
957,2
958,0
959,3
960,0
962,0
963,3
964,0
965,5
966,3
967,0
968,3
969,0
970,5
971,0
972,1
973,0
974,1
975,0
976,5
977,0
978,3
979,0
980,5
981,0
982,3
983,0
984,1
985,0
986,1
987,0
988,1
989,0
990,6
991,0
992,5
993,0
994,1
995,0
996,1
997,0
998,5
999,0
1000,1
1001,0
1002,3
1003,0
1004,1
1005,0
1006,1
1007,0
1008,6
1009,0
1010,5
1011,0
1012,0
1013,0
1014,5
1015,0
1017,0
1018,3
1019,1
1020,1
1021,0
1022,1
1023,0
1024,1
1025,0
1026,1
1027,0
1028,1
1029,0
1030,1
1031,0
1032,1
1033,0
1034,1
1035,0
1036,1
1037,0
1038,1
1039,0
1042,1
1043,0
1044,1
1045,0
1048,1
1049,0
1050,1
1051,0
1052,1
1053,0
1054,2
1055,0
1056,3
1057,0
1058,3
1059,0
1062,3
1063,0
1064,3
1065,0
1066,0
1069,3
1070,0
1073,1
1074,0
1075,3
1076,0
1079,0
1082,0
1084,2
